国・地域,宿泊費,飲食費,都内交通費,娯楽入場費,土産買物費,その他,都内支出額計,平均泊数,標本数,年度,alpha-3
オーストラリア,48212.0,31534.0,10668.0,5845.0,31477.0,1038.0,128775.0,6.8,484.0,2016,AUS
インド,55520.0,27454.0,10865.0,2252.0,18386.0,329.0,114806.0,15.0,159.0,2016,IND
インドネシア,31674.0,15617.0,7029.0,3394.0,44993.0,452.0,103160.0,7.1,214.0,2016,IDN
フィリピン,20122.0,15852.0,9278.0,2703.0,33233.0,565.0,81752.0,8.4,326.0,2016,PHL
ベトナム,32962.0,19903.0,9841.0,2780.0,52013.0,1600.0,119100.0,11.3,170.0,2016,VNM
ロシア,44360.0,26211.0,11806.0,5864.0,29942.0,3897.0,122080.0,12.6,159.0,2016,RUS
その他,64260.0,33275.0,20723.0,7119.0,15698.0,0.0,141074.0,5.4,14.0,2016,
全体,30952.0,23820.0,9929.0,2978.0,64183.0,1868.0,133731.0,6.4,12953.0,2017,
韓国,23083.0,18073.0,7749.0,3264.0,21710.0,1978.0,75857.0,5.4,1760.0,2017,KOR
台湾,20583.0,18203.0,7762.0,2863.0,48533.0,754.0,98697.0,5.5,2056.0,2017,TWN
中国,29373.0,27849.0,8821.0,1461.0,135587.0,3510.0,206600.0,7.5,2647.0,2017,CHN
香港,32508.0,27632.0,10923.0,2735.0,65538.0,476.0,139812.0,4.9,800.0,2017,HKG
タイ,23273.0,15952.0,7977.0,4060.0,39314.0,460.0,91036.0,6.1,692.0,2017,THA
シンガポール,52406.0,29088.0,11896.0,3667.0,46956.0,6488.0,150502.0,5.7,353.0,2017,SGP
マレーシア,30070.0,22329.0,9103.0,2460.0,33615.0,446.0,98022.0,5.6,261.0,2017,MYS
米国,61297.0,36651.0,14227.0,4829.0,25746.0,1096.0,143845.0,7.4,1285.0,2017,USA
カナダ,42285.0,25925.0,11844.0,4418.0,27521.0,1111.0,113105.0,6.8,278.0,2017,CAN
英国,58471.0,27394.0,9489.0,3432.0,13887.0,308.0,112981.0,5.9,305.0,2017,GBR
ドイツ,57355.0,30664.0,11773.0,4077.0,20725.0,1098.0,125692.0,8.3,209.0,2017,DEU
フランス,53888.0,29086.0,17593.0,5594.0,23611.0,3140.0,132912.0,10.8,295.0,2017,FRA
イタリア,44470.0,43421.0,23058.0,4768.0,48206.0,1066.0,164988.0,8.8,195.0,2017,ITA
スペイン,51336.0,36177.0,33392.0,6681.0,23848.0,858.0,152292.0,8.0,203.0,2017,ESP
オーストラリア,51039.0,31304.0,15797.0,7540.0,28457.0,1384.0,135521.0,5.8,479.0,2017,AUS
インド,43784.0,16972.0,9031.0,2062.0,20367.0,687.0,92902.0,10.2,171.0,2017,IND
インドネシア,30183.0,18330.0,7344.0,3188.0,37625.0,238.0,96909.0,6.5,250.0,2017,IDN
フィリピン,23086.0,15893.0,6861.0,2313.0,38980.0,599.0,87733.0,10.7,328.0,2017,PHL
